number,Locality,Latin_Binomial,genus,Family,Trunk.diameter..cm.,Total.height..m.,Dry.weight.branch..kg.,Dry.weight.trunk..kg.,Dry.weight.leaf..kg.,Dry.total.AGB..kg.,Wood.specific.gravity,wsg.taxolevel,wsg.comment,f,taxolevel,,
1781,Kaliman2,Aporosa_sphaeritophora,Aporosa,Phyllanthaceae,5,10.0,1.24,5.74,0.71,7.69,0.32,genus,original.values,0.0970,species,,
1782,Kaliman2,Aporosa_sphaeritophora,Aporosa,Phyllanthaceae,25.4,24.4,74.68,389.71,13.33,477.72,0.50,genus,original.values,0.0606,species,,
1783,Kaliman2,Artocarpus_anisophylla,Artocarpus,Moraceae,11.4,13.7,0.15,21.71,0.32,22.18,0.34,genus,original.values,0.0364,species,,
1784,Kaliman2,Baccaurea_deflexa,Baccaurea,Phyllanthaceae,25.3,26.1,107.63,431.45,11.31,550.39,0.55,species,original.values,0.0601,species,,
1785,Kaliman2,Baccaurea_kunstleri,Baccaurea,Phyllanthaceae,8.3,12.7,2.97,31.04,0.42,34.44,0.65,species,original.values,0.0602,species,,
1786,Kaliman2,Baccaurea_pendula,Baccaurea,Phyllanthaceae,5.6,9.1,1.18,8.98,0.53,10.69,0.64,genus,original.values,0.0590,species,,
1787,Kaliman2,Baccaurea_pendula,Baccaurea,Phyllanthaceae,16.3,20.0,8.29,156.44,1.04,165.77,0.34,genus,original.values,0.0926,species,,
1788,Kaliman2,Baccaurea_sp,Baccaurea,Phyllanthaceae,19,18.0,16.74,159.36,1.57,177.66,0.54,genus,original.values,0.0504,genus,,
1789,Kaliman2,Baccaurea_sp,Baccaurea,Phyllanthaceae,25,27.7,84.15,387.09,14.25,485.49,0.55,genus,original.values,0.0514,genus,,
1790,Kaliman2,Barringtonia_macrostachya,Barringtonia,Lecythidaceae,7.1,5.0,0.12,7.11,0.33,7.56,0.36,species,original.values,0.0830,species,,
1791,Kaliman2,Beilschmiedia_sp,Beilschmiedia,Lauraceae,7.7,7.2,0.05,12.09,0.05,12.18,0.49,genus,original.values,0.0588,genus,,
1792,Kaliman2,Dacryodes_rugosa,Dacryodes,Burseraceae,5.1,9.6,0.67,6.57,0.35,7.59,0.60,species,original.values,0.0504,species,,
1793,Kaliman2,Dialium_indum,Dialium,Fabaceae,13.5,20.0,17.97,117.41,3.01,138.39,0.39,species,original.values,0.0964,species,,
1794,Kaliman2,Dialium_indum,Dialium,Fabaceae,14.8,25.0,11.36,206.00,2.52,219.88,0.72,species,original.values,0.0560,species,,
1795,Kaliman2,Dialium_indum,Dialium,Fabaceae,26.3,33.5,16.25,499.00,3.63,518.87,0.58,species,original.values,0.0389,species,,
1796,Kaliman2,Dialium_platysepalum,Dialium,Fabaceae,64.1,43.5,1022.80,6327.70,52.84,7403.34,0.66,species,original.values,0.0628,species,,
1797,Kaliman2,Dialium_sp,Dialium,Fabaceae,22.6,24.7,83.13,353.58,6.73,443.45,0.65,genus,original.values,0.0537,genus,,
1798,Kaliman2,Dillenia_eximia,Dillenia,Dilleniaceae,15,16.7,9.35,104.59,0.93,114.86,0.58,species,original.values,0.0529,species,,
1799,Kaliman2,Dipterocarpus_crinitus,Dipterocarpus,Dipterocarpaceae,127,46.5,7815.00,16291.00,127.20,24233.20,0.80,species,original.values,0.0403,species,,
1800,Kaliman2,Dryobalanops_sp,Dryobalanops,Dipterocarpaceae,30.1,31.9,43.63,790.21,7.44,841.28,0.50,genus,original.values,0.0580,genus,,
1801,Kaliman2,Drypetes_sp,Drypetes,Putranjivaceae,5,9.7,1.04,7.72,0.56,9.32,0.73,genus,original.values,0.0526,genus,,
1802,Kaliman2,Drypetes_sp,Drypetes,Putranjivaceae,36,27.0,213.23,876.29,18.70,1108.22,0.65,genus,original.values,0.0487,genus,,
1803,Kaliman2,Elaeocarpus_sp,Elaeocarpus,Elaeocarpaceae,20.2,24.6,65.14,200.73,11.41,277.29,0.49,genus,original.values,0.0565,genus,,
1804,Kaliman2,Eugenia_cuprea,Eugenia,Myrtaceae,6.8,11.2,4.10,18.11,1.52,23.73,0.69,genus,original.values,0.0660,species,,
1805,Kaliman2,Eugenia_cuprea,Eugenia,Myrtaceae,6.9,12.7,5.29,21.00,1.36,27.65,0.69,genus,original.values,0.0661,species,,
1806,Kaliman2,Eugenia_sp,Eugenia,Myrtaceae,11.9,16.3,25.15,76.93,4.95,107.04,0.79,genus,original.values,0.0591,genus,,
1807,Kaliman2,Gironniera_nervosa,Gironniera,Cannabaceae,15.3,17.2,6.71,65.23,2.69,74.63,0.39,species,original.values,0.0472,species,,
1808,Kaliman2,Hopea_mengarawan,Hopea,Dipterocarpaceae,46.5,37.2,217.54,1994.26,22.83,2234.63,0.57,species,original.values,0.0492,species,,
1809,Kaliman2,Hopea_mengarawan,Hopea,Dipterocarpaceae,48.1,38.3,218.71,2110.43,23.87,2353.01,0.57,species,original.values,0.0463,species,,
1810,Kaliman2,Hopea_mengarawan,Hopea,Dipterocarpaceae,53.4,40.7,391.29,3343.07,26.33,3760.69,0.62,species,original.values,0.0522,species,,
1811,Kaliman2,Hopea_mengarawan,Hopea,Dipterocarpaceae,64.3,42.5,490.70,4250.20,8.26,4749.16,0.59,species,original.values,0.0461,species,,
1812,Kaliman2,Horsfieldia_grandis,Horsfieldia,Myristicaceae,20.8,23.4,4.67,185.84,1.63,192.14,0.51,species,original.values,0.0376,species,,
1813,Kaliman2,Litsea_noronhae,Litsea,Lauraceae,8.4,9.5,1.22,10.42,1.14,12.78,0.36,species,original.values,0.0524,species,,
1814,Kaliman2,Litsea_sp,Litsea,Lauraceae,22.9,26.8,12.40,226.49,0.78,239.67,0.36,genus,original.values,0.0469,genus,,
1815,Kaliman2,Mallotus_echinatus,Mallotus,Euphorbiaceae,5.2,9.6,1.31,6.66,0.71,8.68,0.57,species,original.values,0.0588,species,,
1816,Kaliman2,Millettia_sericea,Millettia,Fabaceae,5,9.5,0.57,3.68,0.84,5.09,0.39,genus,original.values,0.0555,species,,
1817,Kaliman2,Millettia_sericea,Millettia,Fabaceae,5.1,8.9,3.00,6.20,0.35,9.54,0.71,genus,original.values,0.0583,species,,
1818,Kaliman2,Millettia_sericea,Millettia,Fabaceae,6.2,10.3,2.28,12.87,0.97,16.12,0.72,genus,original.values,0.0565,species,,
1819,Kaliman2,Myristica_sp,Myristica,Myristicaceae,10.4,13.0,1.10,32.86,1.23,35.19,0.45,genus,original.values,0.0553,genus,,
1820,Kaliman2,NA,NA,NA,7.1,13.4,2.61,17.12,0.59,20.32,0.71,species,original.values,0.0427,NA,,
1821,Kaliman2,Neoscortechinia_kingii,Neoscortechinia,Euphorbiaceae,5.7,10.5,1.71,9.43,0.83,11.97,0.62,species,original.values,0.0567,species,,
1822,Kaliman2,Neoscortechinia_kingii,Neoscortechinia,Euphorbiaceae,7.5,12.7,3.62,21.10,1.15,25.86,0.62,species,original.values,0.0586,species,,
1823,Kaliman2,Ochanostachys_amentacea,Ochanostachys,Olacaceae,5.9,9.1,1.69,9.20,0.31,11.20,0.61,species,original.values,0.0584,species,,
1824,Kaliman2,Ochanostachys_sp,Ochanostachys,Olacaceae,12.2,17.6,5.27,70.94,1.17,77.37,0.57,genus,original.values,0.0519,genus,,
1825,Kaliman2,Ostodes_macrophylla,Ostodes,Euphorbiaceae,12.2,14.8,5.64,38.88,1.08,45.61,0.45,species,original.values,0.0456,species,,
1826,Kaliman2,Oxymitra_grandiflora,Oxymitra,Annonaceae,19,16.2,46.76,103.60,11.52,161.88,0.54,species,original.values,0.0510,species,,
1827,Kaliman2,Palaquium_dasyphyllum,Palaquium,Sapotaceae,5.6,8.1,0.29,5.67,0.11,6.07,0.46,species,original.values,0.0522,species,,
1828,Kaliman2,Polyalthia_glauca,Polyalthia,Annonaceae,9,10.0,8.71,22.49,2.87,34.07,0.52,species,original.values,0.0809,species,,
1829,Kaliman2,Polyalthia_glauca,Polyalthia,Annonaceae,11.6,12.3,20.35,39.72,7.35,67.42,0.53,species,original.values,0.0766,species,,
1830,Kaliman2,Polyalthia_glauca,Polyalthia,Annonaceae,22.1,19.3,55.72,252.61,8.70,317.03,0.55,species,original.values,0.0609,species,,
1831,Kaliman2,Polyalthia_rumphii,Polyalthia,Annonaceae,9.8,15.0,8.91,39.65,2.24,50.80,0.62,species,original.values,0.0566,species,,
1832,Kaliman2,Pometia_tomentosa,Pometia,Sapindaceae,5.3,10.0,0.45,4.85,0.50,5.80,0.31,species,original.values,0.0661,species,,
1833,Kaliman2,Santiria_operculata,Santiria,Burseraceae,5.6,8.8,0.24,5.60,0.61,6.45,0.42,genus,original.values,0.0560,species,,
1834,Kaliman2,Santiria_tomentosa,Santiria,Burseraceae,12.2,18.6,9.46,64.43,1.43,75.32,0.52,species,original.values,0.0519,species,,
1835,Kaliman2,Santiria_tomentosa,Santiria,Burseraceae,29.5,30.0,398.30,563.74,18.50,980.54,0.47,species,original.values,0.0803,species,,
1836,Kaliman2,Shorea_laevis,Shorea,Dipterocarpaceae,5.5,10.3,1.10,7.30,1.00,9.40,0.49,species,original.values,0.0611,species,,
1837,Kaliman2,Shorea_laevis,Shorea,Dipterocarpaceae,130.5,70.7,9586.00,33130.00,107.60,42823.60,0.81,species,original.values,0.0442,species,,
1838,Kaliman2,Shorea_leprosula,Shorea,Dipterocarpaceae,5.1,9.7,0.81,4.74,0.47,6.02,0.40,species,original.values,0.0602,species,,
1839,Kaliman2,Shorea_ovalis,Shorea,Dipterocarpaceae,58.6,42.1,238.80,1972.90,25.19,2236.89,0.34,species,original.values,0.0451,species,,
1840,Kaliman2,Sindora_sp,Sindora,Fabaceae,5.8,7.7,0.57,8.40,0.12,9.08,0.64,genus,original.values,0.0548,genus,,
1841,Kaliman2,Sterculia_rubiginosa,Sterculia,Malvaceae,5.3,7.4,0.38,3.14,0.12,3.63,0.32,genus,original.values,0.0546,species,,
1842,Kaliman2,Strombosia_rotundifolia,Strombosia,Olacaceae,25.6,28.9,42.78,575.27,8.78,626.82,0.71,species,original.values,0.0466,species,,
1843,Kaliman2,Strombosia_sp,Strombosia,Olacaceae,5.4,10.3,2.29,9.84,1.18,13.31,0.67,genus,original.values,0.0657,genus,,
1844,Kaliman2,Strombosia_sp,Strombosia,Olacaceae,10.5,11.6,4.86,32.30,1.69,38.84,0.56,genus,original.values,0.0539,genus,,
1845,Kaliman2,Xanthophyllum_heteropleurum,Xanthophyllum,Polygalaceae,12.8,12.5,22.42,55.73,4.20,82.35,0.61,genus,original.values,0.0658,species,,
1846,Kaliman2,Xanthophyllum_heteropleurum,Xanthophyllum,Polygalaceae,13.7,15.9,28.19,85.23,3.84,117.25,0.63,genus,original.values,0.0624,species,,
1847,Kaliman3,Dipterocarpus_convertus,Dipterocarpus,Dipterocarpaceae,11.5,NA,NA,NA,NA,45.52,0.52,genus,original.values,,species,,
1848,Kaliman3,Dipterocarpus_crinitus,Dipterocarpus,Dipterocarpaceae,83,NA,NA,NA,NA,3575.35,0.65,species,original.values,,species,,
1849,Kaliman3,Dipterocarpus_crinitus,Dipterocarpus,Dipterocarpaceae,104,NA,NA,NA,NA,7957.09,0.77,species,original.values,,species,,
1850,Kaliman3,Dipterocarpus_grandiflorus,Dipterocarpus,Dipterocarpaceae,18.8,NA,NA,NA,NA,233.82,0.64,species,original.values,,species,,
1851,Kaliman3,Dipterocarpus_grandiflorus,Dipterocarpus,Dipterocarpaceae,44,NA,NA,NA,NA,1389.03,0.75,species,original.values,,species,,
1852,Kaliman3,Dipterocarpus_grandiflorus,Dipterocarpus,Dipterocarpaceae,49.5,NA,NA,NA,NA,1727.70,0.62,species,original.values,,species,,
1853,Kaliman3,Dipterocarpus_humeratus,Dipterocarpus,Dipterocarpaceae,14,NA,NA,NA,NA,108.95,0.54,species,original.values,,species,,
1854,Kaliman3,Dipterocarpus_humeratus,Dipterocarpus,Dipterocarpaceae,27,NA,NA,NA,NA,361.73,0.69,species,original.values,,species,,
1855,Kaliman3,Dipterocarpus_pacyphyllus,Dipterocarpus,Dipterocarpaceae,34,NA,NA,NA,NA,624.13,0.70,genus,original.values,,species,,
1856,Kaliman3,Dipterocarpus_pacyphyllus,Dipterocarpus,Dipterocarpaceae,67,NA,NA,NA,NA,3707.75,0.73,genus,original.values,,species,,
1857,Kaliman3,Dipterocarpus_pacyphyllus,Dipterocarpus,Dipterocarpaceae,69,NA,NA,NA,NA,2771.86,0.70,genus,original.values,,species,,
1858,Kaliman3,Dipterocarpus_pacyphyllus,Dipterocarpus,Dipterocarpaceae,73,NA,NA,NA,NA,3987.46,0.61,genus,original.values,,species,,
1859,Kaliman3,Dipterocarpus_pacyphyllus,Dipterocarpus,Dipterocarpaceae,93,NA,NA,NA,NA,5333.79,0.74,genus,original.values,,species,,
1860,Kaliman3,Dipterocarpus_pacyphyllus,Dipterocarpus,Dipterocarpaceae,111,NA,NA,NA,NA,6168.88,0.66,genus,original.values,,species,,
1861,Kaliman3,Dipterocarpus_pacyphyllus,Dipterocarpus,Dipterocarpaceae,120,NA,NA,NA,NA,9202.89,0.66,genus,original.values,,species,,
1862,Kaliman3,Dipterocarpus_pacyphyllus,Dipterocarpus,Dipterocarpaceae,135,NA,NA,NA,NA,9897.13,0.73,genus,original.values,,species,,
1863,Kaliman3,Dipterocarpus_palmbanicus,Dipterocarpus,Dipterocarpaceae,6.5,NA,NA,NA,NA,14.22,0.67,genus,original.values,,species,,
1864,Kaliman3,Dipterocarpus_palmbanicus,Dipterocarpus,Dipterocarpaceae,11.8,NA,NA,NA,NA,50.77,0.78,genus,original.values,,species,,
1865,Kaliman3,Dipterocarpus_palmbanicus,Dipterocarpus,Dipterocarpaceae,19.8,NA,NA,NA,NA,162.54,0.65,genus,original.values,,species,,
1866,Kaliman3,Dipterocarpus_palmbanicus,Dipterocarpus,Dipterocarpaceae,23.5,NA,NA,NA,NA,361.73,0.70,genus,original.values,,species,,
1867,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,6.5,NA,NA,NA,NA,10.25,0.65,species,original.values,,species,,
1868,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,10,NA,NA,NA,NA,37.95,0.57,species,original.values,,species,,
1869,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,11.8,NA,NA,NA,NA,50.77,0.49,species,original.values,,species,,
1870,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,15.5,NA,NA,NA,NA,107.64,0.51,species,original.values,,species,,
1871,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,17,NA,NA,NA,NA,140.53,0.67,species,original.values,,species,,
1872,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,22,NA,NA,NA,NA,183.48,0.52,species,original.values,,species,,
1873,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,23,NA,NA,NA,NA,239.56,0.64,species,original.values,,species,,
1874,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,28,NA,NA,NA,NA,398.57,0.55,species,original.values,,species,,
1875,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,31.5,NA,NA,NA,NA,533.14,0.55,species,original.values,,species,,
1876,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,32.5,NA,NA,NA,NA,533.00,0.66,species,original.values,,species,,
1877,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,34,NA,NA,NA,NA,587.43,0.54,species,original.values,,species,,
1878,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,38.5,NA,NA,NA,NA,1130.37,0.54,species,original.values,,species,,
1879,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,41,NA,NA,NA,NA,785.77,0.51,species,original.values,,species,,
1880,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,45,NA,NA,NA,NA,1512.04,0.77,species,original.values,,species,,
1881,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,51,NA,NA,NA,NA,1372.30,0.56,species,original.values,,species,,
1882,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,57,NA,NA,NA,NA,1880.69,0.53,species,original.values,,species,,
1883,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,59,NA,NA,NA,NA,2175.14,0.58,species,original.values,,species,,
1884,Kaliman3,Hopea_cernua,Hopea,Dipterocarpaceae,64,NA,NA,NA,NA,3532.27,0.51,species,original.values,,species,,
1885,Kaliman3,Hopea_dryobalanoides,Hopea,Dipterocarpaceae,62.4,NA,NA,NA,NA,2839.87,0.69,species,original.values,,species,,
1886,Kaliman3,Hopea_mengarawan,Hopea,Dipterocarpaceae,87,NA,NA,NA,NA,3532.27,0.66,species,original.values,,species,,
1887,Kaliman3,Palaquium_gutta,Palaquium,Sapotaceae,10,NA,NA,NA,NA,44.19,0.50,species,original.values,,species,,
1888,Kaliman3,Palaquium_gutta,Palaquium,Sapotaceae,19,NA,NA,NA,NA,170.87,0.65,species,original.values,,species,,
1889,Kaliman3,Palaquium_gutta,Palaquium,Sapotaceae,24,NA,NA,NA,NA,331.77,0.65,species,original.values,,species,,
1890,Kaliman3,Palaquium_gutta,Palaquium,Sapotaceae,28.6,NA,NA,NA,NA,424.35,0.76,species,original.values,,species,,
1891,Kaliman3,Palaquium_gutta,Palaquium,Sapotaceae,29,NA,NA,NA,NA,542.44,0.65,species,original.values,,species,,
1892,Kaliman3,Palaquium_gutta,Palaquium,Sapotaceae,30,NA,NA,NA,NA,468.24,0.61,species,original.values,,species,,
1893,Kaliman3,Palaquium_gutta,Palaquium,Sapotaceae,36,NA,NA,NA,NA,865.37,0.61,species,original.values,,species,,
1894,Kaliman3,Palaquium_gutta,Palaquium,Sapotaceae,40.5,NA,NA,NA,NA,978.76,0.65,species,original.values,,species,,
1895,Kaliman3,Palaquium_gutta,Palaquium,Sapotaceae,48,NA,NA,NA,NA,1600.00,0.59,species,original.values,,species,,
1896,Kaliman3,Palaquium_gutta,Palaquium,Sapotaceae,50,NA,NA,NA,NA,1054.44,0.43,species,original.values,,species,,
1897,Kaliman3,Palaquium_gutta,Palaquium,Sapotaceae,54,NA,NA,NA,NA,1600.94,0.63,species,original.values,,species,,
1898,Kaliman3,Palaquium_gutta,Palaquium,Sapotaceae,55,NA,NA,NA,NA,2371.03,0.53,species,original.values,,species,,
1899,Kaliman3,Palaquium_gutta,Palaquium,Sapotaceae,65,NA,NA,NA,NA,2748.97,0.63,species,original.values,,species,,
1900,Kaliman3,Palaquium_rostratum,Palaquium,Sapotaceae,6.3,NA,NA,NA,NA,11.72,0.56,species,original.values,,species,,
1901,Kaliman3,Palaquium_rostratum,Palaquium,Sapotaceae,15.8,NA,NA,NA,NA,99.50,0.58,species,original.values,,species,,
1902,Kaliman3,Palaquium_rostratum,Palaquium,Sapotaceae,25,NA,NA,NA,NA,403.78,0.62,species,original.values,,species,,
1903,Kaliman3,Palaquium_rostratum,Palaquium,Sapotaceae,45,NA,NA,NA,NA,1599.62,0.67,species,original.values,,species,,
1904,Kaliman3,Palaquium_sp,Palaquium,Sapotaceae,13,NA,NA,NA,NA,87.95,0.44,genus,original.values,,genus,,
1905,Kaliman3,Palaquium_sp,Palaquium,Sapotaceae,74,NA,NA,NA,NA,2099.53,0.38,genus,original.values,,genus,,
1906,Kaliman3,Shorea_agamii,Shorea,Dipterocarpaceae,100,NA,NA,NA,NA,6437.36,0.50,genus,original.values,,species,,
1907,Kaliman3,Shorea_atrinervosa,Shorea,Dipterocarpaceae,50,NA,NA,NA,NA,1357.49,0.60,species,original.values,,species,,
1908,Kaliman3,Shorea_atrinervosa,Shorea,Dipterocarpaceae,100,NA,NA,NA,NA,9302.84,0.71,species,original.values,,species,,
1909,Kaliman3,Shorea_macroptera,Shorea,Dipterocarpaceae,23,NA,NA,NA,NA,291.09,0.54,species,original.values,,species,,
1910,Kaliman3,Shorea_macroptera,Shorea,Dipterocarpaceae,45,NA,NA,NA,NA,955.20,0.48,species,original.values,,species,,
1911,Kaliman3,Shorea_parvifolia,Shorea,Dipterocarpaceae,31.5,NA,NA,NA,NA,457.38,0.51,species,original.values,,species,,
1912,Kaliman3,Shorea_parvifolia,Shorea,Dipterocarpaceae,57,NA,NA,NA,NA,1804.26,0.52,species,original.values,,species,,
1913,Kaliman3,Shorea_parvifolia,Shorea,Dipterocarpaceae,102,NA,NA,NA,NA,8414.04,0.61,species,original.values,,species,,
1914,Kaliman3,Shorea_parvifolia,Shorea,Dipterocarpaceae,110,NA,NA,NA,NA,6546.01,0.60,species,original.values,,species,,
1915,Kaliman3,Shorea_parvistipulata,Shorea,Dipterocarpaceae,35,NA,NA,NA,NA,578.15,0.45,species,original.values,,species,,
1916,Kaliman3,Shorea_retusa,Shorea,Dipterocarpaceae,26.5,NA,NA,NA,NA,234.17,0.50,genus,original.values,,species,,
1917,Kaliman3,Shorea_retusa,Shorea,Dipterocarpaceae,70,NA,NA,NA,NA,1834.71,0.48,genus,original.values,,species,,
1918,Kaliman3,Shorea_retusa,Shorea,Dipterocarpaceae,77,NA,NA,NA,NA,2834.98,0.61,genus,original.values,,species,,
1919,Kaliman3,Shorea_retusa,Shorea,Dipterocarpaceae,84,NA,NA,NA,NA,3241.15,0.47,genus,original.values,,species,,
1920,Kaliman3,Shorea_retusa,Shorea,Dipterocarpaceae,92,NA,NA,NA,NA,3644.00,0.50,genus,original.values,,species,,
1921,Kaliman3,Shorea_retusa,Shorea,Dipterocarpaceae,97,NA,NA,NA,NA,8847.29,0.79,genus,original.values,,species,,
1922,Kaliman3,Shorea_smithiana,Shorea,Dipterocarpaceae,10.2,NA,NA,NA,NA,25.71,0.32,species,original.values,,species,,
1923,Kaliman3,Shorea_sp,Shorea,Dipterocarpaceae,6.5,NA,NA,NA,NA,10.07,0.55,genus,original.values,,genus,,
1924,Kaliman3,Shorea_sp,Shorea,Dipterocarpaceae,12.5,NA,NA,NA,NA,35.93,0.39,genus,original.values,,genus,,
1925,Kaliman3,Shorea_sp,Shorea,Dipterocarpaceae,38.1,NA,NA,NA,NA,781.40,0.50,genus,original.values,,genus,,
1926,Kaliman3,Shorea_sp,Shorea,Dipterocarpaceae,43,NA,NA,NA,NA,923.76,0.54,genus,original.values,,genus,,
1927,Kaliman3,Shorea_sp,Shorea,Dipterocarpaceae,82,NA,NA,NA,NA,3240.00,0.38,genus,original.values,,genus,,
1928,Kaliman3,Shorea_sp,Shorea,Dipterocarpaceae,200,NA,NA,NA,NA,37316.72,0.57,genus,original.values,,genus,,
1929,Kaliman3,Shorea_superba,Shorea,Dipterocarpaceae,170,NA,NA,NA,NA,41258.61,0.86,species,original.values,,species,,
1930,Kaliman4,Allantospermum,Allantospermum,Ixonanthaceae,26.9,23.9,NA,NA,NA,551.95,0.64,family,mean.family,0.0502,genus,,
1931,Kaliman4,Allantospermum,Allantospermum,Ixonanthaceae,28.7,22.9,NA,NA,NA,978.62,0.64,family,mean.family,0.0817,genus,,
1932,Kaliman4,Alseodaphne,Alseodaphne,Lauraceae,7.5,12.2,NA,NA,NA,29.36,0.57,genus,dryad.values,0.0747,genus,,
1933,Kaliman4,Alseodaphne,Alseodaphne,Lauraceae,7.6,16.2,NA,NA,NA,38.38,0.57,genus,dryad.values,0.0716,genus,,
1934,Kaliman4,Alseodaphne,Alseodaphne,Lauraceae,27.7,23.6,NA,NA,NA,536.64,0.57,genus,dryad.values,0.0517,genus,,
1935,Kaliman4,Archidendron,Archidendron,Fabaceae,55.5,41.2,NA,NA,NA,3551.82,0.41,genus,dryad.values,0.0678,genus,,
1936,Kaliman4,Baccaurea,Baccaurea,Phyllanthaceae,32.7,29.5,NA,NA,NA,1118.71,0.62,genus,dryad.values,0.0569,genus,,
1937,Kaliman4,Bouea,Bouea,Anacardiaceae,46.9,31.1,NA,NA,NA,1801.30,0.71,genus,dryad.values,0.0370,genus,,
1938,Kaliman4,Calophyllum,Calophyllum,Calophyllaceae,10.5,13.0,NA,NA,NA,50.01,0.58,genus,dryad.values,0.0606,genus,,
1939,Kaliman4,Calophyllum,Calophyllum,Calophyllaceae,41,33.8,NA,NA,NA,1755.29,0.58,genus,dryad.values,0.0537,genus,,
1940,Kaliman4,Canarium,Canarium,Burseraceae,63.5,36.1,NA,NA,NA,4611.33,0.48,genus,dryad.values,0.0657,genus,,
1941,Kaliman4,Dacryodes,Dacryodes,Burseraceae,18.7,19.4,NA,NA,NA,239.77,0.56,genus,dryad.values,0.0627,genus,,
1942,Kaliman4,Dacryodes,Dacryodes,Burseraceae,25,25.3,NA,NA,NA,541.88,0.56,genus,dryad.values,0.0608,genus,,
1943,Kaliman4,Dialium,Dialium,Fabaceae,46.2,30.6,NA,NA,NA,2929.11,0.82,genus,dryad.values,0.0545,genus,,
1944,Kaliman4,Diospyros,Diospyros,Ebenaceae,21.8,20.2,NA,NA,NA,254.18,0.70,genus,dryad.values,0.0380,genus,,
1945,Kaliman4,Drypetes,Drypetes,Putranjivaceae,42.1,27.9,NA,NA,NA,1743.91,0.71,genus,dryad.values,0.0499,genus,,
1946,Kaliman4,Garcinia,Garcinia,Clusiaceae,10.7,14.0,NA,NA,NA,75.42,0.73,genus,dryad.values,0.0641,genus,,
1947,Kaliman4,Heretiera,Heretiera,Malvaceae,57.1,38.8,NA,NA,NA,2773.13,0.69,family,mean.family,0.0318,genus,,
1948,Kaliman4,Knema,Knema,Myristicaceae,11.9,17.4,NA,NA,NA,63.48,0.53,genus,dryad.values,0.0483,genus,,
1949,Kaliman4,Knema,Knema,Myristicaceae,24.4,23.0,NA,NA,NA,424.63,0.53,genus,dryad.values,0.0581,genus,,
1950,Kaliman4,Knema,Knema,Myristicaceae,25.5,20.0,NA,NA,NA,344.64,0.53,genus,dryad.values,0.0497,genus,,
1951,Kaliman4,Koompassia,Koompassia,Fabaceae,67.7,43.5,NA,NA,NA,6270.05,0.72,genus,dryad.values,0.0439,genus,,
1952,Kaliman4,Lithocarpus,Lithocarpus,Fagaceae,48.5,28.5,NA,NA,NA,1663.49,0.67,genus,dryad.values,0.0371,genus,,
1953,Kaliman4,Lophopetalum,Lophopetalum,Celastraceae,32.2,27.7,NA,NA,NA,780.83,0.52,genus,dryad.values,0.0527,genus,,
1954,Kaliman4,Madhuca,Madhuca,Sapotaceae,6,11.1,NA,NA,NA,19.09,0.68,genus,dryad.values,0.0701,genus,,
1955,Kaliman4,Madhuca,Madhuca,Sapotaceae,22.9,21.2,NA,NA,NA,376.65,0.68,genus,dryad.values,0.0497,genus,,
1956,Kaliman4,Mangifera,Mangifera,Anacardiaceae,68.9,35.1,NA,NA,NA,3546.68,0.51,genus,dryad.values,0.0417,genus,,
1957,Kaliman4,Mezzettia,Mezzettia,Annonaceae,36.2,30.5,NA,NA,NA,1131.19,0.54,genus,dryad.values,0.0527,genus,,
1958,Kaliman4,Parishia,Parishia,Anacardiaceae,53,31.0,NA,NA,NA,2583.27,0.53,genus,dryad.values,0.0560,genus,,
1959,Kaliman4,Scaphium,Scaphium,Malvaceae,37,36.3,NA,NA,NA,1368.72,0.50,genus,dryad.values,0.0547,genus,,
1960,Kaliman4,Scaphium,Scaphium,Malvaceae,45,37.0,NA,NA,NA,1785.34,0.50,genus,dryad.values,0.0473,genus,,
1961,Kaliman4,Shorea,Shorea,Dipterocarpaceae,43.4,28.5,NA,NA,NA,1411.90,0.57,genus,dryad.values,0.0461,genus,,
1962,Kaliman4,Stemonurus,Stemonurus,Stemonuraceae,51,27.9,NA,NA,NA,3107.12,0.52,genus,dryad.values,0.0817,genus,,
1963,Kaliman4,Syndyophyllum,Syndyophyllum,Euphorbiaceae,32.9,30.5,NA,NA,NA,1101.95,0.61,family,mean.family,0.0552,genus,,
1964,Kaliman4,Syndyophyllum,Syndyophyllum,Euphorbiaceae,34,24.0,NA,NA,NA,1342.46,0.61,family,mean.family,0.0800,genus,,
